case_name,Lobs[erg/s],dLobs-[erg/s],dLobs+[erg/s],Tobs[K],dTobs-[K],dTobs+[K]
ASASSN-18pg/AT2018dyb,1.12E+44,6.20E+43,1.88E+44,25000,5000,5000
ASASSN-19dj/AT2019azh,6.15E+44,1.70E+43,1.70E+43,50118.72336,3000,3000
ASASSN-19bt/AT2019ahk,1.20E+44,2.74E+42,2.80E+42,17782.7941,404.7858129,414.2144857
PS1-11af,8.50E+43,2.00E+42,2.00E+42,14500,1500,2500
PS1-10jh,1.62E+44,2.41E+43,2.84E+43,29000,2000,2000
PS17dhz/AT2017eqx,6.46E+43,5.68E+42,4.62E+42,21000,1000,1000
PS18kh/AT2018zr,6.84E+43,2.00E+43,5.32E+43,15135.61248,681.2147769,713.3194402
PTF-09djl,2.51E+44,5.17E+43,6.50E+43,26000,3000,3000
PTF-09axc,3.09E+43,3.36E+42,3.77E+42,12000,1000,1000
PTF-09ge,1.26E+44,2.59E+43,3.26E+43,22000,2000,2000
iPTF-15af,1.50E+44,4.81E+43,8.14E+43,48600,6800,8800
AT2019qiz,2.88E+43,1.30E+42,1.36E+42,18620.87137,423.8627805,433.735813
AT2018hco,1.66E+44,1.46E+43,1.60E+43,24547.08916,558.7599667,571.7751582
AT2018iih,5.25E+44,3.50E+43,3.75E+43,16982.43652,386.5674502,395.5717629
AT2018lni,1.07E+44,2.40E+43,5.88E+43,23988.32919,2608.708295,4195.500122
AT2018lna,3.47E+44,3.77E+43,6.06E+43,38904.5145,2596.709022,2782.423848
AT2019cho,1.00E+44,4.50E+42,4.71E+42,15488.16619,352.5537048,360.7657355
AT2019dsg,2.88E+44,3.14E+43,3.52E+43,38904.5145,1750.99159,1833.513281
AT2019ehz,1.10E+44,4.93E+42,5.17E+42,21877.61624,497.9953445,509.5951462
AT2019mha,1.32E+44,1.43E+43,1.95E+43,22387.21139,1494.250077,1601.117805
AT2019meg,2.29E+44,1.53E+43,2.21E+43,27542.28703,626.9389941,641.5422793